Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2007-P-0127-0002,FDA-2007-P-0127,"Ebewe Parenta Pharmaceuticals, Inc. - Citizen Petition",11/12/07,,CDER,"Ebewe Parenta Pharmaceuticals, Inc.",Petition,Approved,Approved,Initial Petition,True
FDA-2007-P-0127-0006,FDA-2007-P-0127,"FDA/CDER  to Ebewe Parenta Pharmaceuticals, Inc. - Petition Approval",,9/1/10,CDER,"Ebewe Parenta Pharmaceuticals, Inc.",Final Response,Approved,Approved,Correspondence,False
FDA-2007-P-0128-0002,FDA-2007-P-0128,"King Pharmaceuticals, Inc. - Citizen Petition",9/26/07,,CDER,"King Pharmaceuticals, Inc.",Petition,Partially approved or denied,Partially approved or denied,Correspondence,False
FDA-2007-P-0128-0003,FDA-2007-P-0128,"FDA/CDER Interrim Response to King Pharmaceuticals, Inc. - Letter",,3/24/08,CDER,"King Pharmaceuticals, Inc.",Interim Response,Partially approved or denied,Partially approved or denied,Initial Petition,False
FDA-2007-P-0128-0006,FDA-2007-P-0128,"FDA/CDER to King Pharmaceuticals, Inc. - Petition Partial Approval and Denial",,7/31/09,CDER,"King Pharmaceuticals, Inc.",Final Response,Partially approved or denied,Partially approved or denied,Interim FDA Response,False
FDA-2007-P-0129-0003,FDA-2007-P-0129,"Alcon Research, Ltd. - Citizen Petition",4/19/07,,CDER,"Alcon Research, Ltd.",Petition,Withdrawn,Withdrawn,Other Document,False
FDA-2007-P-0130-0019,FDA-2007-P-0130,National Toxic Encephalopathy Foundation - Citizen Petition,11/2/07,,CFSAN,National Toxic Encephalopathy Foundation,Petition,Denied,Denied,Correspondence,True
FDA-2007-P-0130-0020,FDA-2007-P-0130,Denial Letter Response to National Toxic Encephalopathy from CFSAN,,9/29/14,CFSAN,National Toxic Encephalopathy Foundation,Final Response,Denied,Denied,Other Document,False
FDA-2007-P-0168-0011,FDA-2007-P-0168,CareToLive - Citizen Petition,6/26/07,,CBER,Caretolive,Petition,Denied,Denied,Correspondence,True
FDA-2007-P-0168-0013,FDA-2007-P-0168,FDA/CBER Interim Response to CareToLive - Letter,,1/17/08,CBER,Caretolive,Interim Response,Denied,Denied,Initial Petition,True
FDA-2007-P-0168-0047,FDA-2007-P-0168,FDA Repsonse to CareToLive - Petition Denial,,5/21/09,CBER,Caretolive,Final Response,Denied,Denied,Interim FDA Response,False
FDA-2007-P-0169-0002,FDA-2007-P-0169,"Unimed Pharmaceuticals, Inc. - Citizen Petition",10/28/07,,CDER,"Unimed Pharmaceuticals, Inc.",Petition,Response received,Response received,Correspondence,False
FDA-2007-P-0169-0006,FDA-2007-P-0169,"FDA to Solvay Pharmaceuticals, Inc. - Response Letter",,4/25/08,CDER,"Unimed Pharmaceuticals, Inc.",Final Response,Response received,Response received,Initial Petition,False
